Drug	Gene
D01017	ADRA2A
D07834	ADRA2A
D07833	ADRA2A
D05228	ADRA2A
D08141	ADRA2A
D04765	ADRA2A
D05637	ADRA2A
D08444	ADRA2A
D08358	ADRA2A
D00507	ADRA2A
D08207	ADRA2A
D00680	ADRA2A
D00514	ADRA2A
D01205	ADRA2A
D08165	ADRA2A
D04883	ADRA2A
D08126	ADRA2A
D02407	ADRA2A
D08683	ADRA2A
D06344	ADRA2A
D07795	ADRA2A
D03702	ADRA2A
D03887	ADRA2A
D08684	ADRA2A
D00757	ADRA2A
D08362	ADRA2A
D00509	ADRA2A
D05087	ADRA2A
D03002	ADRA2A
D07931	ADRA2A
D01573	ADRA2A
D00270	ADRA2A
D03274	ADRA2A
D04034	ADRA2A
D00789	ADRA2A
D08511	ADRA2A
D02034	ADRA2A
D00283	ADRA2A
D00563	ADRA2A
D11056	ADRA2A
D08216	ADRA2A
D01358	ADRA2A
D02972	ADRA2A
D00095	ADRA2A
D02149	ADRA2A
D00996	ADRA2A
D05688	ADRA2A
D05689	ADRA2A
D08685	ADRA2A
D06671	ADRA2A
D03672	ADRA2A
D11320	ADRA2A
D11321	ADRA2A
D04026	ADRA2B
D02388	ADRA2B
D08192	ADRA2B
D01019	ADRA2B
D08368	ADRA2B
D08206	ADRA2B
D01952	ADRA2B
D01224	ADRA2B
D00124	ADRA2B
D04018	ADRA2B
D01386	ADRA2B
D08449	ADRA2B
D05649	ADRA2B
D00485	ADRA2B
D07905	ADRA2B
D01163	ADRA2B
D08205	ADRA2B
D00405	ADRA2B
D08982	ADRA2B
D01603	ADRA2B
D04223	ADRA2B
D04375	ADRA2B
D01277	ADRA2B
D00076	ADRA2B
D05206	ADRA2B
D08284	ADRA2B
D09794	ADRA2B
D02569	ADRA2B
D05119	ADRA2B
D08482	ADRA2B
D04124	ADRA2B
D08029	ADRA2B
D00607	ADRA2B
D08624	ADRA2B
D01347	ADRA2B
D08614	ADRA2B
D00997	ADRA2B
D07461	ADRA2B
D01008	ADRA2B
D08487	ADRA2B
D00281	ADRA2B
D00604	ADRA2B
D08611	ADRA2B
D00776	ADRA2B
D07540	ADRA2B
D02076	ADRA2B
D00605	ADRA2B
D09842	ADRA2B
D02109	ADRA2B
D02349	ADRA2B
D01017	ADRA2B
D07834	ADRA2B
D07833	ADRA2B
D05228	ADRA2B
D08141	ADRA2B
D04765	ADRA2B
D05637	ADRA2B
D08444	ADRA2B
D08358	ADRA2B
D00507	ADRA2B
D08207	ADRA2B
D00680	ADRA2B
D00514	ADRA2B
D01205	ADRA2B
D08165	ADRA2B
D04883	ADRA2B
D08126	ADRA2B
D02407	ADRA2B
D08683	ADRA2B
D06344	ADRA2B
D07795	ADRA2B
D03702	ADRA2B
D03887	ADRA2B
D08684	ADRA2B
D00757	ADRA2B
D08362	ADRA2B
D00509	ADRA2B
D05087	ADRA2B
D03002	ADRA2B
D04514	ADRA2B
D07931	ADRA2B
D01573	ADRA2B
D00270	ADRA2B
D03274	ADRA2B
D04034	ADRA2B
D00789	ADRA2B
D08511	ADRA2B
D02034	ADRA2B
D00283	ADRA2B
D00563	ADRA2B
D11056	ADRA2B
D08216	ADRA2B
D01358	ADRA2B
D02972	ADRA2B
D00095	ADRA2B
D02149	ADRA2B
D00996	ADRA2B
D05688	ADRA2B
D05689	ADRA2B
D08685	ADRA2B
D06671	ADRA2B
D03672	ADRA2B
D11320	ADRA2B
D11321	ADRA2B
D04026	ADRB1
D08368	ADRB1
D08206	ADRB1
D01952	ADRB1
D01224	ADRB1
D00124	ADRB1
D04018	ADRB1
D01386	ADRB1
D08449	ADRB1
D05649	ADRB1
D00485	ADRB1
D04708	ADRB1
D08982	ADRB1
D03195	ADRB1
D01906	ADRB1
D01277	ADRB1
D00076	ADRB1
D05206	ADRB1
D08284	ADRB1
D09794	ADRB1
D02976	ADRB1
D06646	ADRB1
D05127	ADRB1
D06622	ADRB1
D06328	ADRB1
D06329	ADRB1
D09842	ADRB1
D02109	ADRB1
D02349	ADRB1
D01017	ADRB1
D08074	ADRB1
D00602	ADRB1
D08115	ADRB1
D01025	ADRB1
D08600	ADRB1
D00603	ADRB1
D00378	ADRB1
D07183	ADRB1
D07184	ADRB1
D01444	ADRB1
D03449	ADRB1
D01504	ADRB1
D00432	ADRB1
D07624	ADRB1
D00599	ADRB1
D03177	ADRB1
D07182	ADRB1
D08572	ADRB1
D08598	ADRB1
D01795	ADRB1
D07465	ADRB1
D01830	ADRB1
D04190	ADRB1
D01512	ADRB1
D05228	ADRB1
D02834	ADRB1
D02150	ADRB1
D01471	ADRB1
D04710	ADRB1
D01958	ADRB1
D03729	ADRB1
D03502	ADRB1
D08090	ADRB1
D02066	ADRB1
D01390	ADRB1
D08525	ADRB1
D01026	ADRB1
D03759	ADRB1
D00235	ADRB1
D02765	ADRB1
D07916	ADRB1
D00644	ADRB1
D05345	ADRB1
D02358	ADRB1
D00601	ADRB1
D05011	ADRB1
D00635	ADRB1
D07526	ADRB1
D00598	ADRB1
D02342	ADRB1
D00634	ADRB1
D05587	ADRB1
D03490	ADRB1
D04120	ADRB1
D07156	ADRB1
D01182	ADRB1
D08318	ADRB1
D01806	ADRB1
D06162	ADRB1
D08078	ADRB1
D00513	ADRB1
D07496	ADRB1
D01691	ADRB1
D08443	ADRB1
D00483	ADRB1
D06014	ADRB1
D03879	ADRB1
D03881	ADRB1
D03880	ADRB1
D00632	ADRB1
D08106	ADRB1
D00600	ADRB1
D04888	ADRB1
D04889	ADRB1
D01847	ADRB1
D07451	ADRB1
D01469	ADRB1
D01492	ADRB1
D02374	ADRB1
D02081	ADRB1
D07590	ADRB1
D01454	ADRB1
D01369	ADRB1
D02389	ADRB1
D06176	ADRB1
D07537	ADRB1
D01794	ADRB1
D07181	ADRB1
D02338	ADRB1
D00597	ADRB1
D02537	ADRB1
D03914	ADRB1
D02910	ADRB1
D00636	ADRB1
D07660	ADRB1
D01741	ADRB1
D07931	ADRB1
D01573	ADRB1
D09843	ADRB1
D01903	ADRB1
D00095	ADRB1
D02149	ADRB1
D00996	ADRB1
D05688	ADRB1
D05689	ADRB1
D02614	ADRB1
D00255	ADRB1
D03415	ADRB1
D04026	ADRB2
D02359	ADRB2
D01263	ADRB2
D08368	ADRB2
D08206	ADRB2
D01952	ADRB2
D01224	ADRB2
D00124	ADRB2
D04018	ADRB2
D01386	ADRB2
D08449	ADRB2
D05649	ADRB2
D00485	ADRB2
D08982	ADRB2
D07463	ADRB2
D02981	ADRB2
D01906	ADRB2
D09696	ADRB2
D01277	ADRB2
D00076	ADRB2
D05206	ADRB2
D08284	ADRB2
D09794	ADRB2
D08039	ADRB2
D02396	ADRB2
D02976	ADRB2
D08945	ADRB2
D09697	ADRB2
D10219	ADRB2
D10220	ADRB2
D05792	ADRB2
D00687	ADRB2
D03891	ADRB2
D03892	ADRB2
D05832	ADRB2
D05476	ADRB2
D05730	ADRB2
D00686	ADRB2
D03198	ADRB2
D04953	ADRB2
D09842	ADRB2
D02109	ADRB2
D02349	ADRB2
D01017	ADRB2
D08124	ADRB2
D04703	ADRB2
D02281	ADRB2
D04701	ADRB2
D08074	ADRB2
D00602	ADRB2
D08115	ADRB2
D01025	ADRB2
D08600	ADRB2
D00603	ADRB2
D00378	ADRB2
D01589	ADRB2
D07713	ADRB2
D01360	ADRB2
D02147	ADRB2
D00683	ADRB2
D03402	ADRB2
D03587	ADRB2
D08570	ADRB2
D00688	ADRB2
D07377	ADRB2
D07489	ADRB2
D02151	ADRB2
D01362	ADRB2
D08387	ADRB2
D01349	ADRB2
D07183	ADRB2
D07184	ADRB2
D01444	ADRB2
D01504	ADRB2
D00432	ADRB2
D07624	ADRB2
D00599	ADRB2
D03177	ADRB2
D07182	ADRB2
D08572	ADRB2
D08598	ADRB2
D01795	ADRB2
D07465	ADRB2
D01830	ADRB2
D10145	ADRB2
D10020	ADRB2
D06374	ADRB2
D03170	ADRB2
D04190	ADRB2
D01512	ADRB2
D05228	ADRB2
D02834	ADRB2
D02150	ADRB2
D01958	ADRB2
D03729	ADRB2
D03502	ADRB2
D05902	ADRB2
D08090	ADRB2
D02066	ADRB2
D01390	ADRB2
D08300	ADRB2
D00685	ADRB2
D08525	ADRB2
D01026	ADRB2
D01835	ADRB2
D03759	ADRB2
D02765	ADRB2
D05345	ADRB2
D04120	ADRB2
D07156	ADRB2
D01182	ADRB2
D08318	ADRB2
D01806	ADRB2
D06162	ADRB2
D08078	ADRB2
D00513	ADRB2
D07608	ADRB2
D07496	ADRB2
D01691	ADRB2
D08443	ADRB2
D00483	ADRB2
D06014	ADRB2
D04157	ADRB2
D01428	ADRB2
D07990	ADRB2
D01373	ADRB2
D05277	ADRB2
D01635	ADRB2
D05691	ADRB2
D08106	ADRB2
D00600	ADRB2
D04888	ADRB2
D04889	ADRB2
D08092	ADRB2
D08093	ADRB2
D01748	ADRB2
D05366	ADRB2
D07451	ADRB2
D01469	ADRB2
D01492	ADRB2
D02374	ADRB2
D02081	ADRB2
D07590	ADRB2
D01454	ADRB2
D07534	ADRB2
D00684	ADRB2
D06176	ADRB2
D07537	ADRB2
D01794	ADRB2
D07181	ADRB2
D08424	ADRB2
D02404	ADRB2
D04625	ADRB2
D02093	ADRB2
D04626	ADRB2
D09318	ADRB2
D09319	ADRB2
D11009	ADRB2
D04072	ADRB2
D07931	ADRB2
D01573	ADRB2
D09843	ADRB2
D06562	ADRB2
D08474	ADRB2
